declarationDate,disasterName,stateCode,stateName,declarationRequestDate,Days Diff,Quarter
2024-07-16T00:00:00.000Z,TEXAS FIRE,ID,Idaho,2024-07-16T00:00:00.000Z,0,3
2024-07-18T00:00:00.000Z,FALLS FIRE,OR,Oregon,2024-07-18T00:00:00.000Z,0,3
2024-07-18T00:00:00.000Z,LONE ROCK FIRE,OR,Oregon,2024-07-18T00:00:00.000Z,0,3
2024-07-18T00:00:00.000Z,SEVERE WINTER STORM AND FLOODING,MT,Montana,2024-06-28T00:00:00.000Z,20,3
2024-07-21T00:00:00.000Z,HAWARDEN FIRE,CA,California,2024-07-21T00:00:00.000Z,0,3
2024-07-21T00:00:00.000Z,BATTLE MOUNTAIN FIRE COMPLEX,OR,Oregon,2024-07-21T00:00:00.000Z,0,3
2024-07-21T00:00:00.000Z,BONEYARD FIRE,OR,Oregon,2024-07-21T00:00:00.000Z,0,3
2024-07-22T00:00:00.000Z,DURKEE FIRE,OR,Oregon,2024-07-22T00:00:00.000Z,0,3
2024-07-23T00:00:00.000Z,SEVERE STORMS,OK,Oklahoma,2024-06-11T00:00:00.000Z,42,3
2024-07-23T00:00:00.000Z,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",PR,Puerto Rico,2024-06-07T00:00:00.000Z,46,3
2024-07-23T00:00:00.000Z,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, LANDSLIDES, AND MUDSLIDES",KY,Kentucky,2024-06-14T00:00:00.000Z,39,3
2024-07-23T00:00:00.000Z,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",MO,Missouri,2024-06-12T00:00:00.000Z,41,3
2024-07-23T00:00:00.000Z,WEST WHITE SWAN FIRE,WA,Washington,2024-07-22T00:00:00.000Z,1,3
2024-07-24T00:00:00.000Z,SWAWILLA FIRE,WA,Washington,2024-07-24T00:00:00.000Z,0,3
2024-07-25T00:00:00.000Z,PARK FIRE,CA,California,2024-07-24T00:00:00.000Z,1,3
2024-07-26T00:00:00.000Z,GWEN FIRE,ID,Idaho,2024-07-25T00:00:00.000Z,1,3
2024-07-26T00:00:00.000Z,RETREAT FIRE,WA,Washington,2024-07-25T00:00:00.000Z,1,3
2024-07-27T00:00:00.000Z,BOREL FIRE,CA,California,2024-07-27T00:00:00.000Z,0,3
2024-07-30T00:00:00.000Z,PLEASANT VALLEY FIRE,WY,Wyoming,2024-07-30T00:00:00.000Z,0,3
2024-07-31T00:00:00.000Z,STONE MOUNTAIN FIRE,CO,Colorado,2024-07-31T00:00:00.000Z,0,3
2024-07-31T00:00:00.000Z,ALEXANDER MOUNTAIN FIRE,CO,Colorado,2024-07-31T00:00:00.000Z,0,3
2024-08-01T00:00:00.000Z,QUARRY FIRE,CO,Colorado,2024-08-01T00:00:00.000Z,0,3
2024-08-02T00:00:00.000Z,MILE MARKER 132 FIRE,OR,Oregon,2024-08-02T00:00:00.000Z,0,3
2024-08-03T00:00:00.000Z,TROPICAL STORM DEBBY,FL,Florida,2024-08-03T00:00:00.000Z,0,3
2024-08-05T00:00:00.000Z,HURRICANE DEBBY,GA,Georgia,2024-08-05T00:00:00.000Z,0,3
2024-08-05T00:00:00.000Z,HURRICANE DEBBY,SC,South Carolina,2024-08-04T00:00:00.000Z,1,3
2024-08-06T00:00:00.000Z,TROPICAL STORM DEBBY,NC,North Carolina,2024-08-06T00:00:00.000Z,0,3
2024-08-06T00:00:00.000Z,ELK LANE FIRE,OR,Oregon,2024-08-06T00:00:00.000Z,0,3
2024-08-08T00:00:00.000Z,TROPICAL DEPRESSION DEBBY,VT,Vermont,2024-08-08T00:00:00.000Z,0,3
2024-08-09T00:00:00.000Z,LEE FALLS FIRE,OR,Oregon,2024-08-09T00:00:00.000Z,0,3
2024-08-10T00:00:00.000Z,HURRICANE DEBBY,FL,Florida,2024-08-09T00:00:00.000Z,1,3
2024-08-12T00:00:00.000Z,GOLD RANCH FIRE,NV,Nevada,2024-08-11T00:00:00.000Z,1,3
2024-08-13T00:00:00.000Z,TROPICAL STORM ERNESTO,PR,Puerto Rico,2024-08-13T00:00:00.000Z,0,3
